-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
礐        que       wfqd      NBOG      7910      B543      18        石        321134345114513251
礑        dang      dipl      GKJK      7911      B544      18        石        132512434525125121
礒        yi        dugt      GUMH      7912      B545      18        石        132514311213121534
礓        jiang     dglg      GCKK      7913      EDE4      18        石        132511251211251211
礔        pi        dnku      GXJS      7914      B546      18        石        132515132514143112
礕        pi        nkud      XMSG      7915      B547      18        石        513251414311213251
礖        yu        dwfw      GNIO      7916      B548      18        石        132513211152511134
礗        pin       dpgm      GWKL      7917      B549      19        石        1325144512332511134
礘        qi        djxo      GKZU      7918      B54A      19        石        1325125115545544444
礙        yi        dxth      GRXI      7919      B54B      19        石        1325135311345452134
礚        ke        dafl      GEZL      791A      B54C      18        石        132511221215425221
礛        jian      dahl      GHML      791B      B54D      19        石        1325112512531425221
礜        yu        wfgd      NBOG      791C      B54E      18        石        321115251113413251
礝        ruan      dfdj      GFGL      791D      B54F      19        石        1325114524444132522
礞        meng      dape      GEAG      791E      EDE6      18        石        132511224511353334
礟        pao       dcqq      GCOO      791F      B550      19        石        1325112112544443434
礠        ci        duxn      GUZW      7920      B551      18        石        132514315545544544
礡        bo        dagf      GEFD      7921      B552      18        石        132511221251124124
礢        yang      dude      GUSX      7922      B553      19        石        1325143111344511534
礣        ma        dalt      GEHS      7923      B554      19        石        1325112225221134534
礤        ca        dawi      GERB      7924      EDE5      19        石        1325112235445411234
礥        xin       dahm      GHXL      7925      B555      20        石        13251125125542511134
礦        kuang     dyaw      GTG       7926      B556      19        石        1325141312212512134
礧        lei       dlll      GKKK      7927      B557      20        石        13251251212512125121
礨        lei       llld      KIKG      7928      B558      20        石        25121251212512113251
礩        zhi       drrm      GPPL      7929      B559      20        石        13251331233122511134
礪        li        dday      GGLZ      792A      B55A      19        石        1325113122251125214
礫        luo       dxrs      GZZF      792B      B55B      20        石        13251325115545541234
礬        fan       sqqd      FOGG      792C      B55C      20        石        12343434123413413251
礭        que       dfwy      GFNI      792D      B55D      21        石        132511452444432411121
礮        pao       dcuq      GCOO      792E      B55E      21        石        132511211254444413434
礯        ying      dooi      GUWZ      792F      B55F      21        石        132514334433445554234
礰        li        ddth      GGMI      7930      B560      21        石        132511331234312342121
礱        long      uegd      SIG       7931      B561      22        石        4143125112151511113251
礲        long      duen      GSI       7932      B562      22        石        1325141431251121515111
礳        mo        dysd      GTFG      7933      B563      21        石        132514131234123413251
礴        bo        daif      GEFD      7934      EDE7      21        石        132511224411251124124
礵        shuang    dfsh      GFFL      7935      B564      22        石        1325114524444123425111
礶        guan      daky      GEJN      7936      B565      22        石        1325112225125132411121
礷        lan       daal      GEML      7937      B566      22        石        1325112212512531425221
礸        ca        dtfm      GMRL      7938      B567      24        石        132513121353121352511134
礹        yan       dkkt      GJCM      7939      B568      24        石        132512512511351221113134
示        shi       fiu       BK        793A      CABE      5         示        11234
礻        shi       pyi       WSAA      793B      ECEA      4         礻        4524
礼        li        pynn      WSZ       793C      C0F1      5         礻        45245
礽        reng      pyen      WSYM      793D      B569      6         礻        452453
社        she       pyfg      WSB       793E      C9E7      7         礻        4524121
礿        yue       pyqy      WSRS      793F      B56A      7         礻        4524354
祀        si        pynn      WSYY      7940      ECEB      7         礻        4524515
祁        qi        pybh      WSY       7941      C6EE      6         礻        452452
祂        ta        pubn      WSYI      7942      B56B      7         礻        4524515
祃        ma        pycb      WSX       7943      B56C      7         礻        4524551
祄        xie       pywj      WSON      7944      B56D      8         礻        45243432
祅        yao       pytd      WSMG      7945      B56E      8         礻        45243134
祆        xian      pygd      WSAG      7946      ECEC      8         礻        45241134
祇        zhi       pyqa      WSRH      7947      B56F      8         礻        45243515
祈        qi        pyrh      WSPD      7948      C6ED      8         礻        45243312
祉        zhi       pyhg      WSII      7949      ECED      8         礻        45242121
祊        fang      pyyn      WSSY      794A      B570      8         礻        45244153
祋        dui       pymc      WSQX      794B      B571      8         礻        45243554
祌        zhong     pykh      WSJI      794C      B572      8         礻        45242512
祍        uu        pytf      WSMB      794D      B573      8         礻        45243121
祎        yi        pyfh      WSBY      794E      B574      8         礻        45241152
祏        shi       pydg      WSG       794F      B575      9         礻        452413251
祐        you       pydk      WSGJ      7950      B576      9         礻        452413251
祑        zhi       pyrw      WSMO      7951      B577      9         礻        452431134
祒        tiao      pyvk      WSYJ      7952      B578      9         礻        452453251
祓        fu        pydc      WSXS      7953      ECF0      9         礻        452413544
祔        fu        pywf      WSND      7954      B579      9         礻        452432124
祕        mi        pynt      WSWM      7955      B57A      9         礻        452445434
祖        zu        pyeg      WSLC      7956      D7E6      9         礻        452425111
祗        zhi       pyqy      WSRS      7957      ECF3      9         礻        452435154
祘        suan      fifi      BKBK      7958      B57B      10        示        1123411234
祙        mei       pyfi      WSBK      7959      B57C      9         礻        452411234
祚        zuo       pytf      WSMI      795A      ECF1      9         礻        452431211
祛        qu        pyfc      WSBZ      795B      ECEE      9         礻        452412154
祜        hu        pydg      WSEJ      795C      ECEF      9         礻        452412251
祝        zhu       pykq      WSJR      795D      D7A3      9         礻        452425135
神        shen      pyjh      WSKI      795E      C9F1      9         礻        452425112
祟        sui       bmfi      ZIZB      795F      CBEE      10        示        5225211234
祠        ci        pynk      WSAJ      7960      ECF4      9         礻        452451251
祡        chai      hxfi      IIRB      7961      B57D      11        示        21213511234
祢        mi        pyqi      WSRK      7962      ECF2      9         礻        452435234
祣        lv        pyte      WSMR      7963      B57E      10        礻        4524313534
祤        yu        pyng      WSYY      7964      B580      10        礻        4524541541
祥        xiang     pyud      WSUC      7965      CFE9      10        礻        4524431112
祦        wu        pykd      WSAG      7966      B581      11        礻        45242511134
祧        tiao      pyiq      WSVR      7967      ECF6      10        礻        4524341534
票        piao      sfiu      FJBK      7968      C6B1      11        示        12522111234
祩        zhu       pyri      WSMK      7969      B582      10        礻        4524311234
祪        gui       pyqb      WSGY      796A      B583      10        礻        4524351355
祫        xia       pywk      WSAJ      796B      B584      10        礻        4524341251
祬        zhi       pygf      WSHB      796C      B585      10        礻        4524154121
祭        ji        wfiu      RSBK      796D      BCC0      11        示        35445411234
祮        gao       pyfk      WSBJ      796E      B586      10        礻        4524121251
祯        zhen      pyhm      WSIL      796F      ECF5      10        礻        4524212534
祰        gao       pytk      WSMJ      7970      B587      11        礻        45243121251
祱        shui      pyuq      WSJR      7971      B588      11        礻        45244325135
祲        jin       pyvc      WSWX      7972      B589      11        礻        45245114554
祳        shen      pyde      WSGH      7973      B58A      11        礻        45241322534
祴        gai       pyaa      WSHE      7974      B58B      11        礻        45241132534
祵        kun       pyls      WSJF      7975      B58C      11        礻        45242512341
祶        di        pyut      WSUY      7976      B58D      11        礻        45244351523
祷        dao       pydf      WSCD      7977      B5BB      11        礻        45241113124
祸        huo       pykw      WSLO      7978      BBF6      11        礻        45242512534
祹        tao       pyqb      WSEZ      7979      B58E      12        礻        452435311252
祺        qi        pyaw      WSEC      797A      ECF7      12        礻        452412211134
祻        gu        puld      WSEJ      797B      B58F      12        礻        452425122511
祼        guan      pujs      WSKF      797C      B590      12        礻        452425111234
祽        zui       pyyf      WSOE      797D      B591      12        礻        452441343412
祾        ling      pyft      WSOR      797E      B592      12        礻        452412134354
祿        lu        pyxi      WSZK      797F      B593      12        礻        452455124134
禀        bing      ylki      SJJB      7980      D9F7      13        示        4125251111234
禁        jin       ssfi      FFBK      7981      BDFB      13        示        1234123411234
禂        dao       pymk      WSBJ      7982      B594      12        礻        452435121251
禃        zhi       pyfh      WSEL      7983      B595      12        礻        452412251111
禄        lu        pyvi      WSXK      7984      C2BB      12        礻        452451124134
禅        chan      pyuf      WSKE      7985      ECF8      12        礻        452443251112
禆        bi        pyrf      WSNE      7986      B596      12        礻        452432511312
禇        chu       pyfj      WSBM      7987      B597      12        礻        452412132511
禈        hui       pypl      WSWF      7988      B598      13        礻        4524451251112
禉        you       pyug      WSUF      7989      B599      13        礻        4524431253511
禊        xi        pydd      WSYG      798A      ECF9      13        礻        4524111253134
禋        yin       pysf      WSFB      798B      B59A      13        礻        4524125221121
禌        zi        pyux      WSZZ      798C      B59B      13        礻        4524431554554
禍        huo       pykw      WSLJ      798D      B59C      12        礻        452425525251
禎        zhen      pyhm      WSIL      798E      B59D      13        礻        4524212511134
福        fu        pygl      WSJK      798F      B8A3      13        礻        4524125125121
禐        yuan      pyec      WSGX      7990      B59E      13        礻        4524344311354
禑        wu        pyjy      WSLZ      7991      B59F      13        礻        4524251125214
禒        xian      pyxe      WSZG      7992      B5A0      13        礻        4524551353334
禓        yang      pyjr      WSRO      7993      B640      13        礻        4524251113533
禔        zhi       pyjh      WSAI      7994      B641      13        礻        4524251112134
禕        yi        pyfh      WSJM      7995      B642      13        礻        4524521251152
禖        mei       pyas      WSEF      7996      B643      13        礻        4524122111234
禗        si        pyln      WSKW      7997      B644      13        礻        4524251214544
禘        di        pyuh      WSWL      7998      B645      13        礻        4524414345252
禙        bei       pyue      WSRQ      7999      B646      13        礻        4524211352511
禚        zhuo      pyuo      WSUU      799A      ECFA      14        礻        45244311214444
禛        zhen      pydw      WSLO      799B      B647      14        礻        45241225111134
禜        yong      oopi      UOWB      799C      B648      15        示        433443344511234
禝        ji        pylt      WSOR      799D      B649      14        礻        45242512134354
禞        gao       pyyk      WSJL      799E      B64A      14        礻        45244125125251
禟        tang      pyyk      WSXJ      799F      B64B      14        礻        45244135112251
禠        si        pyrq      WSPI      79A0      B64C      14        礻        45243321531535
禡        ma        pycb      WSCU      79A1      B64D      14        礻        45241211254444
禢        ta        pyjn      WSYY      79A2      B64E      14        礻        45242511541541
禣        fu        pygf      WSFD      79A3      B64F      14        礻        45241251124124
禤        xuan      pyln      WSYY      79A4      B650      15        礻        452425221541541
禥        qi        pyaf      WSEB      79A5      B651      15        礻        452412211134121
禦        yu        trhi      OIYB      79A6      B652      17        示        33231121215211234
禧        xi        pyfk      WSUJ      79A7      ECFB      16        礻        4524121251431251
禨        qi        pyxt      WSHO      79A8      B653      16        礻        4524554554134534
禩        si        pylw      WSEO      79A9      B654      15        礻        452425121122134
禪        tan       pykf      WSKE      79AA      B655      16        礻        4524251251251112
禫        dan       pysj      WSKE      79AB      B656      16        礻        4524125221251112
禬        gui       pywj      WSLK      79AC      B657      17        礻        45243412524312511
禭        sui       puup      WSUG      79AD      B658      16        礻        4524431353334454
禮        li        pymu      WSJU      79AE      B659      17        礻        45242512211251431
禯        nong      pyme      WSKG      79AF      B65A      17        礻        45242512211311534
禰        xian      pugq      WSOO      79B0      B65B      18        礻        452413425234343434
禱        dao       pyff      WSJD      79B1      B65C      18        礻        452412151211251124
禲        li        pydy      WSLZ      79B2      B65D      18        礻        452413122251125214
禳        rang      pyye      WSER      79B3      ECFC      21        礻        452441251251112213534
禴        yue       pywa      WSJL      79B4      B65E      21        礻        452434125125125125122
禵        zhi       pyjm      WSIG      79B5      B65F      22        礻        4524251112134132511134
禶        zan       putm      WSRL      79B6      B660      23        礻        45243121353121352511134
禷        lei       pyom      WSSG      79B7      B661      23        礻        45244312341344132511134
禸        rou       mci       LDZS      79B8      B662      4         忄        2554
禹        yu        tkmy      MILD      79B9      D3ED      9         忄        325125214
禺        yu        jmhy      KLZS      79BA      D8AE      9         忄        251125214
离        li        ybmc      SOLZ      79BB      C0EB      10        忄        4134522554
禼        xie       hlqc      IDLZ      79BC      B663      11        忄        21253412554
禽        qin       wybc      ODLZ      79BD      C7DD      12        忄        344134522554
禾        he        tttt      MF        79BE      BACC      5         禾        31234
禿        tu        tmb       MFRD      79BF      B664      7         禾        3123435
秀        xiu       teb       MFYM      79C0      D0E3      7         禾        3123453
私        si        tcy       MFZS      79C1      CBBD      7         禾        3123454
秂        ren       teu       MFOD      79C2      B665      7         禾        3123434
秃        tu        tmb       MFQD      79C3      CDBA      7         禾        3123435
秄        zi        tbg       MFYA      79C4      B666      8         禾        31234521
秅        na        ttan      MFMH      79C5      B667      9         禾        31234315
秆        gan       tfh       MFAE      79C6      B8D1      8         禾        31234112
秇        zhi       tvyn      MFQY      79C7      B668      8         禾        31234354
秈        xian      omh       MFLL      79C8      B669      8         禾        31234252
秉        bing      tgvi      MFXB      79C9      B1FC      8         禾        31511234
秊        nian      ttfj      MFME      79CA      B66A      8         禾        31234312
秋        qiu       toy       MFUO      79CB      C7EF      9         禾        312344334
秌        qiu       oty       UOMF      79CC      B66B      9         禾        433431234
种        zhong     tkhh      MFJI      79CD      D6D6      9         禾        312342512
秎        fen       twln      MFOY      79CE      B66C      9         禾        312343453
秏        mao       ttfn      MFMH      79CF      B66D      9         禾        312343115
秐        yun       difc      MFBZ      79D0      B66E      9         禾        312341154
科        ke        tufh      MFTE      79D1      BFC6      9         禾        312344412
秒        miao      titt      MFKM      79D2      C3EB      9         禾        312342343
秓        zhi       tfcy      MFEX      79D3      B66F      9         禾        312341254
秔        jing      tymn      MFSQ      79D4      B670      9         禾        312344135
秕        bi        txxn      MFRR      79D5      EFF5      9         禾        312341535
秖        zhi       tqan      MFRH      79D6      B671      9         禾        312343515
秗        yu        ttdy      MFMG      79D7      B672      9         禾        312343134
秘        mi        tntt      MFWM      79D8      C3D8      10        禾        3123445434
秙        ku        tdg       MFEJ      79D9      B673      10        禾        3123412251
秚        ban       tufh      MFUB      79DA      B674      10        禾        3123443112
秛        pi        thcy      MFXI      79DB      B675      10        禾        3123453254
秜        ni        tnxn      MFXR      79DC      B676      10        禾        3123451335
秝        li        tty       MFMF      79DD      B677      10        禾        3123431234
秞        you       tmg       MFKI      79DE      B678      10        禾        3123425121
租        zu        tegg      MFLC      79DF      D7E2      10        禾        3123425111
秠        pi        tgig      MFGA      79E0      B679      10        禾        3123413241
秡        bo        tdcy      MFXS      79E1      B67A      10        禾        3123413544
秢        ling      twyc      MFOW      79E2      B67B      10        禾        3123434454
秣        mo        tgsy      MFAF      79E3      EFF7      10        禾        3123411234
秤        cheng     tguh      MFAU      79E4      B3D3      10        禾        3123414312
秥        nian      thkg      MFIJ      79E5      B67C      10        禾        3123421251
秦        qin       dwtu      COMF      79E6      C7D8      10        禾        1113431234
秧        yang      tmdy      MFLG      79E7      D1ED      10        禾        3123425134
秨        zuo       tthf      MFMI      79E8      B67D      10        禾        3123431211
秩        zhi       trwy      MFMO      79E9      D6C8      10        禾        3123431134
秪        zhi       tqag      MFRS      79EA      B67E      10        禾        3123435154
秫        shu       tsyy      MFFS      79EB      EFF8      10        禾        3123412344
秬        ju        tang      MFHX      79EC      B680      9         禾        312341515
秭        zi        ttnt      MFIM      79ED      EFF6      9         禾        312343523
秮        huo       tckg      MFZJ      79EE      B681      10        禾        3123454251
积        ji        tkwy      MFJO      79EF      BBFD      10        禾        3123425134
称        cheng     tqiy      MFRK      79F0      B3C6      10        禾        3123435234
秱        tong      tmgk      MFLD      79F1      B682      11        禾        31234251251
秲        zhi       tffy      MFBD      79F2      B683      11        禾        31234121124
秳        kuo       ttdg      MFMI      79F3      B684      11        禾        31234312251
秴        he        twgk      MFAJ      79F4      B685      11        禾        31234341251
秵        yin       tldy      MFJD      79F5      B686      11        禾        31234251341
秶        zi        uqwt      TDRM      79F6      B687      11        禾        41353431234
秷        zhi       tgcf      MFHB      79F7      B688      11        禾        31234154121
秸        jie       tfkg      MFBJ      79F8      BDD5      11        禾        31234121251
秹        ren       twtf      MFMB      79F9      B689      11        禾        31234323121
秺        du        tpta      MFMH      79FA      B68A      11        禾        31234445315
移        yi        tqqy      MFRR      79FB      D2C6      11        禾        31234354354
秼        zhu       triy      MFMK      79FC      B68B      11        禾        31234311234
秽        hui       tmqy      MFLR      79FD      BBE0      11        禾        31234252354
秾        nong      tpey      MFWR      79FE      B68C      11        禾        31234453534
秿        pu        tgey      MFFB      79FF      B68D      12        禾        312341251124
稀        xi        tqdh      MFGL      7A00      CFA1      12        禾        312343413252
稁        gao       yptu      SJWM      7A01      B68E      12        禾        412514531234
稂        lang      tyve      MFSX      7A02      EFFC      12        禾        312344511534
稃        fu        tebg      MFPY      7A03      EFFB      12        禾        312343443521
稄        ze        tcqt      MFOR      7A04      B68F      12        禾        312345434354
稅        tuo       twkq      MFJR      7A05      B690      12        禾        312343425135
稆        lv        tkkg      MFJJ      7A06      EFF9      11        禾        31234251251
稇        kun       tlsy      MFJF      7A07      B691      12        禾        312342512341
稈        gan       tjfh      MFAE      7A08      B692      12        禾        312342511112
稉        jing      tgjq      MFKO      7A09      B693      12        禾        312341251134
稊        ti        tuxt      MFUY      7A0A      B694      12        禾        312344351523
程        cheng     tkgg      MFJC      7A0B      B3CC      12        禾        312342511121
稌        tu        twty      MFOM      7A0C      B695      12        禾        312343411234
稍        shao      tieg      MFKQ      7A0D      C9D4      12        禾        312342432511
税        shui      tukq      MFJR      7A0E      CBB0      12        禾        312344325135
稏        ya        tgjg      MFBZ      7A0F      B696      13        禾        3123412155121
稐        lun       twga      MFAL      7A10      B697      13        禾        3123434125122
稑        lu        tfqf      MFOB      7A11      B698      13        禾        3123412134121
稒        gu        tldg      MFEJ      7A12      B699      13        禾        3123425122511
稓        zuo       tajg      MFEK      7A13      B69A      13        禾        3123412212511
稔        ren       twyn      MFXW      7A14      EFFE      13        禾        3123434454544
稕        zhun      tybg      MFJY      7A15      B69B      13        禾        3123441251521
稖        bang      tukg      MFSJ      7A16      B69C      13        禾        3123441431251
稗        bai       trtf      MFNE      7A17      B0DE      13        禾        3123432511312
稘        qi        tadw      MFEC      7A18      B69D      13        禾        3123412211134
稙        zhi       tdhg      MFEL      7A19      B69E      13        禾        3123412251111
稚        zhi       twyg      MFNI      7A1A      D6C9      13        禾        3123432411121
稛        kun       tlty      MFJM      7A1B      B69F      13        禾        3123425312341
稜        leng      tfqt      MFOR      7A1C      B6A0      13        禾        3123412134354
稝        peng      teeg      MFQQ      7A1D      B740      13        禾        3123435113511
稞        ke        tjsy      MFKF      7A1E      EFFD      13        禾        3123425111234
稟        lin       ylki      SJJM      7A1F      B741      13        禾        4125251131234
稠        chou      tmfk      MFBJ      7A20      B3ED      13        禾        3123435121251
稡        zui       tywf      MFOE      7A21      B742      13        禾        3123441343412
稢        yu        takg      MFJA      7A22      B743      13        禾        3123412511534
稣        su        qgty      RMF       7A23      F6D5      13        禾        3525121131234
稤        su        tyiy      MFJK      7A24      B744      13        禾        3123441251234
稥        uu        tojf      MFUK      7A25      B745      13        禾        3123444442511
稦        yi        thnh      MFJM      7A26      B746      14        禾        31234521251152
稧        xi        tdhd      MFYG      7A27      B747      14        禾        31234111253134
稨        bian      ttna      MFWL      7A28      B748      14        禾        31234451325122
稩        ji        tleg      MFKQ      7A29      B749      14        禾        31234251212511
稪        fu        ttjt      MFKR      7A2A      B74A      14        禾        31234312511354
稫        pi        tgkl      MFJK      7A2B      B74B      14        禾        31234125125121
稬        nuo       tdmd      MFGG      7A2C      B74C      14        禾        31234132522134
稭        jie       txxr      MFRN      7A2D      B74D      14        禾        31234153532511
種        zhong     ttgf      MFKB      7A2E      B74E      14        禾        31234312511211
稯        zong      tqbt      MFOR      7A2F      B74F      14        禾        31234345234354
稰        xu        tnhe      MFIQ      7A30      B750      14        禾        31234521342511
稱        cheng     temf      MFLB      7A31      B751      14        禾        31234344325211
稲        dao       tehj      MFIK      7A32      B752      14        禾        31234344322511
稳        wen       tqvn      MFXW      7A33      CEC8      14        禾        31234355114544
稴        xian      tuvo      MFUX      7A34      B753      15        禾        312344315112234
稵        zi        tuxx      MFZZ      7A35      B754      14        禾        31234431554554
稶        yu        take      MFJA      7A36      B755      15        禾        312341251153334
稷        ji        tlwt      MFOR      7A37      F0A2      15        禾        312342512134354
稸        xu        tyxl      MFZK      7A38      B756      15        禾        312344155425121
稹        zhen      tfhw      MFLO      7A39      F0A1      15        禾        312341225111134
稺        zhi       tnuf      MFXS      7A3A      B757      15        禾        312345134143112
稻        dao       tevg      MFPN      7A3B      B5BE      15        禾        312343443321511
稼        jia       tpey      MFWG      7A3C      BCDA      16        禾        312344451353334
稽        ji        tdnj      MFRK      7A3D      BBFC      15        禾        312341354352511
稾        kao       ymkt      SJLM      7A3E      B758      15        禾        412512525131234
稿        gao       tymk      MFJL      7A3F      B8E5      15        禾        312344125125251
穀        gu        fpgc      BWMQ      7A40      B759      15        禾        121451312343554
穁        rong      tabg      MFEC      7A41      B75A      14        禾        31234122122111
穂        sui       tgjn      MFKW      7A42      B75B      15        禾        312341251124544
穃        rong      tpwk      MFOJ      7A43      B75C      15        禾        312344453434251
穄        ji        twfi      MFRB      7A44      B75D      16        禾        3123435445411234
穅        kang      oyvi      MFXK      7A45      B75E      16        禾        3123441351124134
穆        mu        trie      MFKP      7A46      C4C2      16        禾        3123432511234333
穇        shan      tcce      MFOP      7A47      B75F      16        禾        3123454545434333
穈        mi        ysst      TGFM      7A48      B760      16        禾        4131234123431234
穉        zhi       tnih      MFKM      7A49      B761      17        禾        31234513241343112
穊        ji        tvcq      MFHR      7A4A      B762      14        禾        31234511541535
穋        lu        tnwe      MFOP      7A4B      B763      16        禾        3123454154134333
穌        su        qgty      RMF       7A4C      B764      16        禾        3525121444431234
積        ji        tgmy      MFCL      7A4D      B765      16        禾        3123411212511134
穎        ying      xtdm      RRMG      7A4E      B766      16        禾        3531234132511134
穏        wen       tevn      MFXW      7A4F      B767      17        禾        3123434435114544
穐        qiu       tqjn      MFKZ      7A50      B768      16        禾        3123435251125115
穑        se        tfuk      MFJJ      7A51      F0A3      16        禾        3123412431252511
穒        kweok     kwek      MFRZ      7A52      B769      16        禾        3123432511154444
穓        yi        tlaw      MFEO      7A53      B76A      16        禾        3123425121122134
穔        huang     tagw      MFKO      7A54      B76B      16        禾        3123412212512134
穕        qie       twys      MFNF      7A55      B76C      17        禾        31234324111211234
穖        ji        txxt      MFHO      7A56      B76D      17        禾        31234554554134534
穗        sui       tgjn      MFFW      7A57      CBEB      17        禾        31234125112144544
穘        xiao      tffq      MFBG      7A58      B76E      17        禾        31234121121121135
穙        pu        togy      MFKU      7A59      B76F      17        禾        31234224314311134
穚        jiao      ttdk      MFJL      7A5A      B770      17        禾        31234313425125251
穛        zhuo      twyo      MFNU      7A5B      B771      17        禾        31234324111214444
穜        zhong     tujf      MFKB      7A5C      B772      17        禾        31234414312511211
穝        zui       tjbc      MFCX      7A5D      B773      17        禾        31234251112211154
穞        lv        tqgj      MFRK      7A5E      B774      17        禾        31234352512112511
穟        sui       tuep      MFUG      7A5F      B775      17        禾        31234431353334454
穠        nong      tmae      MFKG      7A60      B776      18        禾        312342512211311534
穡        se        tfuk      MFJJ      7A61      B777      18        禾        312341234341252511
穢        hui       thdt      MFAK      7A62      B778      18        禾        312342121131233534
穣        rang      tufe      MFER      7A63      B779      18        禾        312344134112213534
穤        nuo       tfdj      MFFG      7A64      B77A      19        禾        3123414524444132522
穥        yu        twfw      MFIO      7A65      B77B      18        禾        312343211152511134
穦        pin       tpgm      MFKL      7A66      B77C      19        禾        3123444512332511134
穧        zi        tyuh      MFRN      7A67      B77D      19        禾        3123441432533543211
穨        tui       tmdm      MFAL      7A68      B77E      19        禾        3123435251212511134
穩        wen       tean      MFXW      7A69      B780      19        禾        3123434431215114544
穪        cheng     tgwq      MFOO      7A6A      B781      19        禾        3123413425234343434
穫        huo       tawc      MFNX      7A6B      B782      18        禾        312341223241112154
穬        kuang     tyaw      MFTG      7A6C      B783      19        禾        3123441312212512134
穭        lv        tqoj      MFRK      7A6D      B784      20        禾        31234352512144442511
穮        pao       tyno      MFTU      7A6E      B785      20        禾        31234413522115354444
穯        se        tfkk      MFJJ      7A6F      B786      20        禾        31234122512511252511
穰        rang      tyke      MFER      7A70      F0A6      22        禾        3123441251251112213534
穱        zhuo      telf      MFXD      7A71      B787      22        禾        3123434432522151154124
穲        li        tgmx      MFLT      7A72      B788      24        禾        312341254125441352211535
穳        zan       ttfm      MFRL      7A73      B789      24        禾        312343121353121352511134
穴        xue       pwu       WO        7A74      D1A8      5         穴        44534
穵        ya        pqnb      WOYD      7A75      B78A      6         穴        445345
究        jiu       pwvb      WOQY      7A76      BEBF      7         穴        4453435
穷        qiong     pwlb      WOYM      7A77      C7EE      7         穴        4453453
穸        xi        pwqu      WORS      7A78      F1B6      8         穴        44534354
穹        qiong     pwxb      WOYZ      7A79      F1B7      8         穴        44534515
空        kong      pwaf      WOBI      7A7A      BFD5      8         穴        44534121
穻        yu        pqgf      WOAD      7A7B      B78B      8         穴        44534112
穼        shen      pwsu      WOF       7A7C      B78C      9         穴        445341234
穽        jing      pwfj      WOBN      7A7D      B78D      9         穴        445341132
穾        yao       pqtd      WOMG      7A7E      B78E      9         穴        445343134
穿        chuan     pwat      WOHI      7A7F      B4A9      9         穴        445341523
窀        zhun      pwgn      WOHZ      7A80      F1B8      9         穴        445341525
突        tu        pwdu      WOGS      7A81      CDBB      9         穴        445341344
窂        lao       pwrh      WOMB      7A82      B78F      9         穴        445343112
窃        qie       pwav      WOHY      7A83      C7D4      9         穴        445341553
窄        zhai      pwtf      WOMI      7A84      D5AD      10        穴        4453431211
窅        yao       pqhf      WOL       7A85      B790      10        穴        4453425111
窆        bian      pwtp      WOMW      7A86      F1B9      9         穴        445343454
窇        bao       pqqn      WORY      7A87      B791      10        穴        4453435515
窈        yao       pwxl      WOZY      7A88      F1BA      10        穴        4453455453
窉        bing      pqgw      WOLO      7A89      B792      10        穴        4453412534
窊        wa        pqry      WOPS      7A8A      B793      10        穴        4453433544
窋        zhu       pqbm      WOZZ      7A8B      B794      10        穴        4453452252
窌        pao       pqqb      WOMY      7A8C      B795      11        穴        4453435352
窍        qiao      pwan      WOAZ      7A8D      C7CF      10        穴        4453412115
窎        diao      pwqg      WORZ      7A8E      B796      10        穴        4453435451
窏        wu        pqif      WOAD      7A8F      B797      11        穴        44534441112
窐        wa        pqff      WOBB      7A90      B798      11        穴        44534121121
窑        yao       pwrm      WOEZ      7A91      D2A4      11        穴        44534311252
窒        zhi       pwgf      WOHB      7A92      D6CF      11        穴        44534154121
窓        chuang    pwcn      WOZW      7A93      B799      11        穴        44534544544
窔        yao       pquq      WOOO      7A94      B79A      11        穴        44534413434
窕        tiao      pwiq      WOVR      7A95      F1BB      11        穴        44534341534
窖        jiao      pwtk      WOMJ      7A96      BDD1      12        穴        445343121251
窗        chuang    pwtq      WONR      7A97      B4B0      12        穴        445343253541
窘        jiong     pwvk      WOXJ      7A98      BEBD      12        穴        445345113251
窙        xiao      pqfb      WOBY      7A99      B79B      12        穴        445341213521
窚        cheng     pwdt      WOHY      7A9A      B79C      11        穴        44534135534
窛        kou       pwfv      WORZ      7A9B      B79D      12        穴        445341135531
窜        cuan      pwkh      WOJI      7A9C      B4DC      12        穴        445342512512
窝        wo        pwkw      WOLO      7A9D      CED1      12        穴        445342512534
窞        dan       pqqv      WORN      7A9E      B79E      13        穴        4453435321511
窟        ku        pwnm      WOZZ      7A9F      BFDF      13        穴        4453451352252
窠        ke        pwjs      WOKF      7AA0      F1BD      13        穴        4453425111234
窡        zhuo      pwcc      WOXX      7AA1      B79F      13        穴        4453454545454
窢        xu        pqag      WOJA      7AA2      B7A0      13        穴        4453412511534
窣        su        pqyf      WOOE      7AA3      B840      13        穴        4453441343412
窤        guan      pwjx      WORR      7AA4      B841      13        穴        4453425111535
窥        kui       pwfq      WOOL      7AA5      BFFA      13        穴        4453411342535
窦        dou       pwfd      WOTG      7AA6      F1BC      13        穴        4453412544134
窧        zhuo      pwhj      WOKE      7AA7      B842      13        穴        4453421251112
窨        xun       pwuj      WOSK      7AA8      F1BF      14        穴        44534414312511
窩        wo        pqmk      WOLJ      7AA9      B843      13        穴        4453425525251
窪        wa        iffg      WOBB      7AAA      B844      14        穴        44534441121121
窫        ye        pqdd      WOYG      7AAB      B845      14        穴        44534111253134
